Entry,ChEBI_ID
P12821,CHEBI:190702
P12821,CHEBI:190696
P13284,CHEBI:35235
P13284,CHEBI:35491
P13284,CHEBI:29950
P13284,CHEBI:61694
P13284,CHEBI:50058
P13284,CHEBI:143812
P13637,CHEBI:43474
P13637,CHEBI:15378
P13637,CHEBI:456216
P13637,CHEBI:30616
P13637,CHEBI:29101
P13637,CHEBI:15377
P13637,CHEBI:29103
P13804,CHEBI:57692
P13929,CHEBI:58289
P13929,CHEBI:58702
P13929,CHEBI:15377
P13929,CHEBI:18420
P14867,CHEBI:17996
P16615,CHEBI:29108
P16615,CHEBI:43474
P16615,CHEBI:18420
P16615,CHEBI:15378
P16615,CHEBI:456216
P16615,CHEBI:30616
P16615,CHEBI:15377
P16885,CHEBI:29108
P16885,CHEBI:203600
P16885,CHEBI:15378
P16885,CHEBI:58456
P16885,CHEBI:17815
P16885,CHEBI:15377
P17174,CHEBI:35235
P17174,CHEBI:597326
P17174,CHEBI:16452
P17174,CHEBI:74359
P17174,CHEBI:61085
P17174,CHEBI:16810
P17174,CHEBI:57678
P17174,CHEBI:16763
P17174,CHEBI:140699
P17174,CHEBI:29985
P17174,CHEBI:29991
P17252,CHEBI:29108
P17252,CHEBI:83421
P17252,CHEBI:15378
P17252,CHEBI:29999
P17252,CHEBI:30013
P17252,CHEBI:61977
P17252,CHEBI:456216
P17252,CHEBI:30616
P17302,CHEBI:67143
P17302,CHEBI:143093
P17655,CHEBI:29108
P17948,CHEBI:46858
P17948,CHEBI:15378
P17948,CHEBI:456216
P17948,CHEBI:61978
P17948,CHEBI:30616
P18507,CHEBI:17996
P19525,CHEBI:46858
P19525,CHEBI:83421
P19525,CHEBI:18420
P19525,CHEBI:15378
P19525,CHEBI:29999
P19525,CHEBI:30013
P19525,CHEBI:61977
P19525,CHEBI:456216
P19525,CHEBI:61978
P19525,CHEBI:30616
P20020,CHEBI:43474
P20020,CHEBI:29108
P20020,CHEBI:15378
P20020,CHEBI:456216
P20020,CHEBI:30616
P20020,CHEBI:15377
P20336,CHEBI:43474
P20336,CHEBI:37565
P20336,CHEBI:18420
P20336,CHEBI:58189
P20336,CHEBI:15378
P20336,CHEBI:15377
P21579,CHEBI:29108
P21709,CHEBI:46858
P21709,CHEBI:15378
P21709,CHEBI:456216
P21709,CHEBI:61978
P21709,CHEBI:30616
P21796,CHEBI:15355
P21796,CHEBI:29108
P21796,CHEBI:18420
P21796,CHEBI:57643
P21796,CHEBI:29034
P21796,CHEBI:59905
P21796,CHEBI:17996
P21796,CHEBI:30616
P21796,CHEBI:29101
P21796,CHEBI:29985
P21796,CHEBI:29103
P21796,CHEBI:57262
P21860,CHEBI:46858
P21860,CHEBI:15378
P21860,CHEBI:456216
P21860,CHEBI:61978
P21860,CHEBI:30616
P22061,CHEBI:57856
P22061,CHEBI:59789
P22061,CHEBI:90596
P22061,CHEBI:90598
P22303,CHEBI:15355
P22303,CHEBI:15378
P22303,CHEBI:15354
P22303,CHEBI:30089
P22303,CHEBI:15377
P22732,CHEBI:37721
P23141,CHEBI:90230
P23141,CHEBI:32395
P23141,CHEBI:28868
P23141,CHEBI:29067
P23141,CHEBI:52392
P23141,CHEBI:16113
P23141,CHEBI:90233
P23141,CHEBI:17002
P23141,CHEBI:17754
P23141,CHEBI:30089
P23141,CHEBI:606564
P23141,CHEBI:15377
P23141,CHEBI:17224
P23141,CHEBI:30823
P23141,CHEBI:17763
P23141,CHEBI:57404
P23141,CHEBI:33308
P23141,CHEBI:15378
P23141,CHEBI:30879
P23141,CHEBI:46898
P23219,CHEBI:30245
P23219,CHEBI:136655
P23219,CHEBI:32395
P23219,CHEBI:57405
P23219,CHEBI:17499
P23219,CHEBI:77852
P23219,CHEBI:13193
P23219,CHEBI:77895
P23219,CHEBI:60344
P23219,CHEBI:82629
P23219,CHEBI:90850
P23219,CHEBI:15377
P23219,CHEBI:15379
P23470,CHEBI:46858
P23470,CHEBI:43474
P23470,CHEBI:61978
P23470,CHEBI:15377
P23471,CHEBI:46858
P23471,CHEBI:43474
P23471,CHEBI:61978
P23471,CHEBI:15377
P23921,CHEBI:29950
P23921,CHEBI:73316
P23921,CHEBI:50058
P23921,CHEBI:57930
P23921,CHEBI:15377
P24557,CHEBI:90694
P24557,CHEBI:57409
P24557,CHEBI:57405
P24557,CHEBI:57446
P24557,CHEBI:131859
P24557,CHEBI:17499
P24557,CHEBI:13193
P24557,CHEBI:57445
P24557,CHEBI:30413
P24557,CHEBI:59720
P24557,CHEBI:566274
P24557,CHEBI:57410
P24557,CHEBI:15377
P27144,CHEBI:58223
P27144,CHEBI:58593
P27144,CHEBI:61404
P27144,CHEBI:58595
P27144,CHEBI:73316
P27144,CHEBI:30616
P27144,CHEBI:58069
P27144,CHEBI:37565
P27144,CHEBI:58189
P27144,CHEBI:61560
P27144,CHEBI:61481
P27144,CHEBI:456216
P27144,CHEBI:46398
P27144,CHEBI:61429
P27144,CHEBI:37563
P27144,CHEBI:58245
P27144,CHEBI:57667
P27144,CHEBI:61557
P27144,CHEBI:58369
P27144,CHEBI:60377
P27144,CHEBI:58043
P27144,CHEBI:37568
P27144,CHEBI:456215
P27144,CHEBI:57930
P27144,CHEBI:57566
P27338,CHEBI:65296
P27338,CHEBI:59905
P27338,CHEBI:17169
P27338,CHEBI:180943
P27338,CHEBI:72587
P27338,CHEBI:7386
P27338,CHEBI:58263
P27338,CHEBI:225238
P27338,CHEBI:327995
P27338,CHEBI:228804
P27338,CHEBI:15377
P27338,CHEBI:15621
P27338,CHEBI:17478
P27338,CHEBI:58855
P27338,CHEBI:71406
P27338,CHEBI:225237
P27338,CHEBI:15379
P27338,CHEBI:57692
P27338,CHEBI:28938
P27338,CHEBI:27978
P27338,CHEBI:59338
P27338,CHEBI:16240
P27338,CHEBI:16424
P27448,CHEBI:83421
P27448,CHEBI:15378
P27448,CHEBI:29999
P27448,CHEBI:30013
P27448,CHEBI:61977
P27448,CHEBI:456216
P27448,CHEBI:30616
P27987,CHEBI:203600
P27987,CHEBI:15378
P27987,CHEBI:456216
P27987,CHEBI:30616
P27987,CHEBI:57895
P28331,CHEBI:17976
P28331,CHEBI:190135
P28331,CHEBI:15378
P28331,CHEBI:57540
P28331,CHEBI:49883
P28331,CHEBI:16389
P28331,CHEBI:57945
P28482,CHEBI:83421
P28482,CHEBI:18420
P28482,CHEBI:15378
P28482,CHEBI:29999
P28482,CHEBI:30013
P28482,CHEBI:61977
P28482,CHEBI:456216
P28482,CHEBI:30616
P29350,CHEBI:46858
P29350,CHEBI:43474
P29350,CHEBI:61978
P29350,CHEBI:15377
P30038,CHEBI:57540
P30038,CHEBI:15378
P30038,CHEBI:58066
P30038,CHEBI:57945
P30038,CHEBI:29985
P30038,CHEBI:15377
P30041,CHEBI:7896
P30041,CHEBI:58168
P30041,CHEBI:35924
P30041,CHEBI:15378
P30041,CHEBI:57379
P30041,CHEBI:28868
P30041,CHEBI:58297
P30041,CHEBI:72999
P30041,CHEBI:72998
P30041,CHEBI:30879
P30041,CHEBI:57287
P30041,CHEBI:57925
P30041,CHEBI:58342
P30041,CHEBI:57643
P30041,CHEBI:15377
P30304,CHEBI:46858
P30304,CHEBI:43474
P30304,CHEBI:61978
P30304,CHEBI:15377
P30305,CHEBI:46858
P30305,CHEBI:43474
P30305,CHEBI:61978
P30305,CHEBI:15377
P30307,CHEBI:46858
P30307,CHEBI:43474
P30307,CHEBI:61978
P30307,CHEBI:15377
P31040,CHEBI:30031
P31040,CHEBI:17976
P31040,CHEBI:57692
P31040,CHEBI:15588
P31040,CHEBI:132124
P31040,CHEBI:17479
P31040,CHEBI:24646
P31040,CHEBI:16389
P31040,CHEBI:15589
P31040,CHEBI:29806
P31749,CHEBI:83421
P31749,CHEBI:15378
P31749,CHEBI:29999
P31749,CHEBI:30013
P31749,CHEBI:61977
