chebi_id,name,description,formula,mass,charge,monoisotopic_mass,smiles,inchikey,ontology_parents,ontology_parent_ids,kegg_compound_id
CHEBI:139150,"(S,S)-bis-(3-oleoylglycero)-1-phosphate(1-)","A 3,3'-lysobisphosphatidate obtained by deprotonation of the phosphate OH group of (<i>S</i>,<i>S</i>)-bis-(3-oleoylglycero)-1-phosphate; major species at pH 7.3.",,774.05,-1.0,,,,"2,2'-lysobisphosphatidate",CHEBI:77717,
CHEBI:139161,1-(4-methoxyphenyl)-N-methyl-N-[(3-methyloxetan-3-yl)methyl]methanamine(1+),An ammonium ion obtained by protonation of the amino group of 1-(4-methoxyphenyl)-<em>N</em>-methyl-<em>N</em>-[(3-methyloxetan-3-yl)methyl]methanamine. The major species at pH 7.3.,,236.335,1.0,,,,ammonium ion derivative,CHEBI:35274,
CHEBI:139164,"2-{[(4-methoxybenzyl)(methyl)amino]methyl}-2-methylpropane-1,3-diol(1+)","An ammonium ion resulting from the protonation of the amino group of 2-{[(4-methoxybenzyl)(methyl)amino]methyl}-2-methylpropane-1,3-diol.",,254.35,1.0,,,,ammonium ion derivative,CHEBI:35274,
CHEBI:139252,[8)-alpha-Neu5Ac-(2->]n polyanion,A polyanionic polymer obtained by deprotonation of the carboxy groups of [8)-α-Neu5Ac-(2→]<small><sub><em>n</em></sub></small>; major species at pH 7.3.,,308.263,-1.0,,,,polyanionic polymer,CHEBI:61469,
CHEBI:140084,all-trans-retinyl octanoate,An <i>all</i>-<i>trans</i>-retinyl ester obtained by formal condensation of the carboxy group of octanoic acid with the hydroxy group of <i>all</i>-<i>trans</i>-retinol.,,412.658,0.0,,,,octanoate ester; all-trans-retinyl ester,CHEBI:87657; CHEBI:63410,
CHEBI:140088,2-dodecanoyl-sn-glycero-3-phosphocholine,A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as dodecanoyl.,,439.53,0.0,,,,2-acyl-sn-glycero-3-phosphocholine,CHEBI:57875,
CHEBI:140089,all-trans-retinyl dodecanoate,An <i>all</i>-<i>trans</i>-retinyl ester obtained by formal condensation of the carboxy group of dodecanoic (lauric) acid with the hydroxy group of <i>all</i>-<i>trans</i>-retinol.,,468.766,0.0,,,,dodecanoate ester; all-trans-retinyl ester,CHEBI:87659; CHEBI:63410,
CHEBI:140309,alpha-N-acetylneuraminyl-(2->8)-alpha-N-acetylneuraminyl-(2->3)-beta-D-galactoside(2-),An <em>N</em>-acetylneuraminate obtained by deprotonation of the carboxy groups of any α-<em>N</em>-acetylneuraminyl-(2→8)-α-<em>N</em>-acetylneuraminyl-(2→3)-β-<small>D</small>-galactoside; major species at pH 7.3.,,759.642,-2.0,,,,N-acetylneuraminates,CHEBI:21619,
CHEBI:140994,4-nitrophenyl sulfate,An aryl sulfate oxoanion resulting from the deprotonation of the sulfooxy group of 4-nitrophenyl hydrogen sulfate. The major microspecies at pH 7.3.,,218.166,-1.0,,,,aryl sulfate oxoanion,CHEBI:139371,
CHEBI:141128,O-acetyl-L-serine residue,An <small>L</small>-α-amino acid residue derived from <em>O</em>-acetyl-<small>L</small>-serine.,,129.115,0.0,,,,L-alpha-amino acid residue,CHEBI:83228,
CHEBI:141843,(5S)-5-hydroxy-L-lysinium residue,An <small>L</small>-lysinium residue that is substituted by an hydroxy group at position 5 (the 5<i>S</i> stereoisomer); major microspecies at pH 7.3.,,145.182,1.0,,,,5-hydroxy-L-lysinium residue,CHEBI:141817,
CHEBI:142684,"(9Z,12Z,15Z)-octadecatrienamide",A fatty amide resulting from the formal condensation of the carboxy group of α-linolenic acid with ammonia.,,277.452,0.0,,,,primary fatty amide; primary carboxamide,CHEBI:143129; CHEBI:140324,
CHEBI:142789,5'-methyltriphosphate-guanosine-ribonucleotide(4-) residue,,,727.255,-4.0,,,,organophosphate oxoanion,CHEBI:58945,
CHEBI:143093,2'-3'-cGAMP(2-),An organophosphate oxoanion obtained by deprotonation of the phosphate OH groups of 2'-3'-cGAMP; major species at pH 7.3.,,672.401,-2.0,,,,organophosphate oxoanion,CHEBI:58945,
CHEBI:143812,L-Cys-Gly disulfide dizwitterion,,,354.41,0.0,,,,Cys-Gly disulfide dizwitterion,CHEBI:133046,
CHEBI:146163,"(8Z,11Z,14Z)-icosatrienamide","A primary fatty amide resulting from the formal condensation of the carboxy group of <em>all</em>-<i>cis</i>-icosa-8,11,14-trienoic acid with ammonia.",,305.506,0.0,,,,primary fatty amide,CHEBI:143129,
CHEBI:146164,"(11Z,14Z,17Z)-icosatrienamide","A primary fatty amide resulting from the formal condensation of the carboxy group of <em>all</em>-<i>cis</i>-icosa-11,14,17-trienoic acid with ammonia.",,305.506,0.0,,,,primary fatty amide,CHEBI:143129,
CHEBI:146165,"(11Z,14Z)-icosadienamide","A primary fatty amide resulting from the formal condensation of the carboxy group of (11<i>Z</i>,14<i>Z</i>)-icosadienoic acid with ammonia.",,307.522,0.0,,,,primary fatty amide,CHEBI:143129,
CHEBI:146166,nervonamide,A primary fatty amide resulting from the formal condensation of the carboxy group of (15<i>Z</i>)-tetracosenoic acid with ammonia.,,365.646,0.0,,,,primary fatty amide,CHEBI:143129,
CHEBI:146167,gondamide,A primary fatty amide resulting from the formal condensation of the carboxy group of (11<i>Z</i>)-icos-11-enoic acid with ammonia.,,309.538,0.0,,,,primary fatty amide,CHEBI:143129,
